,V_flux,freq 
89,-79.20000000000117,4.2339
90,-79.20000000000117,4.234
91,-79.20000000000117,4.234100000000001
92,-79.20000000000117,4.2342
93,-79.20000000000117,4.2343
94,-79.20000000000117,4.2344
95,-79.20000000000117,4.234500000000001
96,-79.20000000000117,4.2346
97,-79.20000000000117,4.2347
98,-79.20000000000117,4.2348
99,-79.20000000000117,4.2349000000000006
100,-79.20000000000117,4.235
101,-79.20000000000117,4.2351
102,-78.40000000000117,4.2441
103,-78.40000000000117,4.2442
104,-78.40000000000117,4.2443
105,-78.40000000000117,4.244400000000001
106,-78.40000000000117,4.2445
107,-78.40000000000117,4.2446
108,-78.40000000000117,4.2447
109,-78.40000000000117,4.244800000000001
110,-78.40000000000117,4.2449
111,-78.40000000000117,4.245
112,-78.40000000000117,4.2451
113,-78.40000000000117,4.2452000000000005
114,-78.40000000000117,4.2453
115,-78.40000000000117,4.2454
116,-78.40000000000117,4.2455
117,-77.60000000000119,4.2541
118,-77.60000000000119,4.2542
119,-77.60000000000119,4.254300000000001
120,-77.60000000000119,4.2544
121,-77.60000000000119,4.2545
122,-77.60000000000119,4.2546
123,-77.60000000000119,4.254700000000001
124,-77.60000000000119,4.2548
125,-77.60000000000119,4.2549
126,-77.60000000000119,4.255
127,-77.60000000000119,4.2551000000000005
128,-77.60000000000119,4.2552
129,-77.60000000000119,4.2553
130,-77.60000000000119,4.2554
131,-76.80000000000119,4.2634
132,-76.80000000000119,4.2635000000000005
133,-76.80000000000119,4.2636
134,-76.80000000000119,4.2637
135,-76.80000000000119,4.263800000000001
136,-76.80000000000119,4.2639000000000005
137,-76.80000000000119,4.264
138,-76.80000000000119,4.2641
139,-76.80000000000119,4.264200000000001
140,-76.80000000000119,4.2643
141,-76.80000000000119,4.2644
142,-76.80000000000119,4.2645
143,-76.80000000000119,4.264600000000001
144,-76.80000000000119,4.2647
145,-76.80000000000119,4.2648
146,-76.0000000000012,4.2724
147,-76.0000000000012,4.2725
148,-76.0000000000012,4.272600000000001
149,-76.0000000000012,4.2727
150,-76.0000000000012,4.2728
151,-76.0000000000012,4.2729
152,-76.0000000000012,4.273000000000001
153,-76.0000000000012,4.2731
154,-76.0000000000012,4.2732
155,-76.0000000000012,4.2733
156,-76.0000000000012,4.2734000000000005
157,-76.0000000000012,4.2735
158,-76.0000000000012,4.2736
159,-76.0000000000012,4.2737
160,-76.0000000000012,4.2738000000000005
161,-75.20000000000121,4.281000000000001
162,-75.20000000000121,4.2811
163,-75.20000000000121,4.2812
164,-75.20000000000121,4.2813
165,-75.20000000000121,4.2814000000000005
166,-75.20000000000121,4.2815
167,-75.20000000000121,4.2816
168,-75.20000000000121,4.2817
169,-75.20000000000121,4.2818000000000005
170,-75.20000000000121,4.2819
171,-75.20000000000121,4.282
172,-75.20000000000121,4.282100000000001
173,-75.20000000000121,4.2822000000000005
174,-75.20000000000121,4.2823
175,-74.40000000000121,4.2892
176,-74.40000000000121,4.2893
177,-74.40000000000121,4.2894000000000005
178,-74.40000000000121,4.2895
179,-74.40000000000121,4.2896
180,-74.40000000000121,4.2897
181,-74.40000000000121,4.2898000000000005
182,-74.40000000000121,4.2899
183,-74.40000000000121,4.29
184,-74.40000000000121,4.290100000000001
185,-74.40000000000121,4.2902000000000005
186,-74.40000000000121,4.2903
187,-74.40000000000121,4.2904
